3.39203	2.90461	
2.99144	2.55621	
3.10853	2.65896	
2.89052	2.7135	
3.42153	2.98581	
3.65227	3.28593	
3.17731	2.84036	
3.23212	2.89951	
2.74499	2.52437	
2.96727	2.72123	
3.57372	3.08551	
3.1017	2.9756	
2.92356	2.59684	
2.91707	2.45905	
4.08962	3.09259	
4.20522	3.50682	
3.88467	3.04736	
3.42376	2.8722	
3.66337	3.22068	
3.56262	3.15076	
3.26055	2.98589	
3.52869	3.04538	
3.50929	2.78014	
3.18159	2.84037	
2.9274	3.15453	
2.9114	2.66727	
3.23746	2.89434	
3.37009	2.95602	
3.36254	2.82341	
2.93423	2.83789	
2.90474	2.75669	
3.4402	2.80179	
3.73229	3.42626	
3.99625	3.3825	
2.96727	2.72123	
3.27511	2.57464	
3.59477	2.81206	
2.96727	2.72123	
2.86875	2.5377	
3.26828	2.89128	
3.4457	2.82079	
2.47705	1.98627	
3.00006	2.68364	
3.36656	2.90249	
3.36194	3.35692	
2.98701	2.53203	
3.47279	3.24281	
3.01427	2.72683	
3.53756	3.09374	
3.22456	2.76689	
2.34544	4.10871	
2.27641	4.00638	
2.15915	4.13085	
1.58715	3.19028	
1.99186	3.76591	
1.69724	3.8369	
2.22143	4.17446	
1.74739	2.99234	
2.03022	3.89547	
1.83112	3.4148	
1.40473	2.81151	
2.13861	3.72265	
1.60713	3.1734	
1.82305	3.96384	
2.24964	3.38131	
2.34561	3.88149	
1.85583	3.92625	
1.80498	3.61435	
1.54756	3.29312	
1.74928	3.33317	
2.01649	4.12922	
2.13238	3.50578	
1.54827	3.74238	
1.69395	3.95569	
2.13221	3.733	
2.2438	3.81675	
1.95241	3.89293	
2.02653	4.06916	
1.93482	3.82038	
2.05177	3.19175	
1.70556	3.20878	
1.73194	3.18155	
1.98463	3.43025	
1.48663	3.99988	
1.78352	3.94271	
2.29481	4.15283	
2.20303	4.02802	
1.64402	3.36304	
2.02479	3.7525	
1.71846	3.33623	
1.51999	3.68018	
1.9468	3.97717	
1.86087	3.41692	
1.7179	2.91114	
1.76973	3.59323	
1.97113	3.83632	
1.93719	3.73094	
2.05989	3.74945	
2.09139	2.83752	
1.92964	3.59833	
1.75163	4.65815	
1.50948	3.91912	
1.77515	4.44341	
1.49935	4.35455	
1.64802	4.40072	
1.54924	4.81978	
1.3379	3.55417	
1.45424	4.68978	
1.26517	4.14904	
2.21592	4.86267	
2.12258	4.19398	
1.61023	3.98904	
1.89907	4.22952	
1.43184	3.68935	
1.73375	3.83005	
2.06539	4.22427	
1.69543	4.35142	
2.08425	5.42255	
1.21192	4.63378	
1.18473	3.60779	
2.01379	4.4217	
1.65074	3.85685	
1.36426	4.75766	
1.77475	3.7911	
1.94367	4.57594	
1.78934	4.73799	
1.86235	3.81266	
1.8994	4.02647	
1.56503	4.17613	
1.71079	4.53758	
1.57267	4.45689	
2.26742	5.29199	
1.59675	4.14372	
1.62903	4.08058	
1.10318	4.28172	
1.93935	4.44852	
2.01796	4.52496	
1.72492	4.43262	
1.92134	3.97505	
2.05899	4.23462	
1.96564	4.27314	
2.29674	3.99088	
1.50948	3.91912	
1.86142	4.54922	
2.07057	4.44632	
2.10066	3.994	
1.61707	3.6724	
1.93318	4.10768	
2.06628	4.44631	
1.71088	4.16221	
